Child,Status
Katarzyna,naughty
Adelen,naughty
Marcel,naughty
Inge,naughty
Angelica,naughty
Sienna,nice
Emanuel,naughty
Hussein,naughty
Benthe,naughty
Jorid,nice
Bernt,nice
Naima,naughty
Mateusz,naughty
Lennart,naughty
Haldis,nice
Zakaria,naughty
Gro,nice
Hildegunn,naughty
Jaroslaw,naughty
Ruben,naughty
Elin,naughty
Charlie,nice
Donatas,naughty
Gunnlaug,naughty
Målfrid,naughty
Siri,nice
Hubert,naughty
Robert,nice
Herborg,nice
Øistein,nice
Emmanuel,naughty
Håkon,naughty
Salah,nice
Dina,naughty
Esther,naughty
Silas,naughty
Mattis,nice
Alvhild,naughty
Arnljot,naughty
Gjermund,nice
Ilyas,nice
Rene,nice
Edda,naughty
Irena,naughty
Imre,naughty
Sindre,naughty
Siren,nice
Baard,naughty
Annlaug,naughty
Martinius,naughty
