Child,Status
Amelie,naughty
Noralf,naughty
Piotr,naughty
Thanh,naughty
Eilert,nice
Leikny,nice
Marian,naughty
Ida,nice
Tellef,nice
Margit,naughty
Jørgen,naughty
Gisle,naughty
Gudny,nice
Adnan,naughty
Audny,naughty
Vincent,nice
Sylvi,naughty
Tim,naughty
Magny,nice
Åge,naughty
Abdul,nice
Johanne,naughty
Phuong,nice
Katherine,nice
Tommy,naughty
Maren,naughty
Pelle,nice
Nicklas,naughty
Amina,nice
Arvid,naughty
Joakim,nice
Ingebjørg,naughty
Juliana,naughty
Daniela,nice
Finn,nice
Rolandas,nice
Matthew,nice
Liliana,nice
Marcel,nice
Stella,naughty
Ivan,naughty
Malin,nice
Gerda,naughty
Margrete,naughty
Henning,nice
Rebecka,nice
Ewa,naughty
Idris,naughty
Jamila,nice
Torje,nice
