Child,Status
Aurora,naughty
Eldrid,naughty
Evaldas,nice
Ragnar,nice
Trine,naughty
Maud,naughty
Oda,naughty
Ingvild,nice
Cornelia,naughty
Martinus,naughty
Torkel,naughty
Line,naughty
Haldor,nice
Magny,nice
Grete,naughty
Thale,nice
Mariell,nice
Kjetil,nice
Margunn,naughty
Bo,naughty
Charlie,naughty
Gerda,nice
Fernando,nice
Kyrre,nice
Endre,nice
Tara,nice
Birgit,nice
Laurits,naughty
Johanna,nice
Anne,nice
Bengt,naughty
Arnt,naughty
Samir,naughty
Sanna,naughty
Wilma,naughty
Steinar,naughty
Åsne,nice
Arent,naughty
Linn,naughty
William,naughty
Annie,nice
Iqra,naughty
Silje,nice
Erich,naughty
Ayan,nice
Borgny,naughty
Desiree,naughty
Gediminas,nice
Leif,nice
Bodil,nice
